CustomerID,CustomerCode,Segment,Country,Age,Gender
1,C00001,Consumer,USA,45,F
2,C00002,Consumer,USA,51,M
3,C00003,Consumer,UK,31,F
4,C00004,Consumer,UK,25,F
5,C00005,Consumer,Germany,56,F
6,C00006,Consumer,Italy,43,F
7,C00007,Consumer,UK,58,M
8,C00008,Corporate,Spain,20,M
9,C00009,Consumer,UAE,38,M
10,C00010,Consumer,Canada,40,M
11,C00011,Consumer,Canada,31,F
12,C00012,Consumer,Italy,29,M
13,C00013,Corporate,USA,55,F
14,C00014,Consumer,UK,31,M
15,C00015,Consumer,UK,29,M
16,C00016,Corporate,UAE,57,F
17,C00017,Consumer,UAE,56,F
18,C00018,Consumer,Germany,23,F
19,C00019,Consumer,France,52,M
20,C00020,Consumer,Egypt,26,F
21,C00021,Consumer,UAE,39,F
22,C00022,Home Office,Germany,25,M
23,C00023,Consumer,Germany,36,F
24,C00024,Corporate,Canada,21,F
25,C00025,Corporate,Germany,55,M
26,C00026,Consumer,Italy,18,F
27,C00027,Consumer,Spain,33,F
28,C00028,Corporate,USA,33,M
29,C00029,Home Office,Canada,28,M
30,C00030,Corporate,UK,55,M
31,C00031,Consumer,France,43,F
32,C00032,Consumer,Egypt,29,M
33,C00033,Corporate,France,58,M
34,C00034,Consumer,Italy,57,M
35,C00035,Consumer,Germany,23,M
36,C00036,Consumer,UAE,30,F
37,C00037,Consumer,KSA,42,M
38,C00038,Corporate,UK,19,F
39,C00039,Corporate,Egypt,23,M
40,C00040,Home Office,UK,21,M
41,C00041,Consumer,UK,38,F
42,C00042,Home Office,UAE,39,M
43,C00043,Home Office,Spain,19,F
44,C00044,Consumer,Italy,53,M
45,C00045,Consumer,KSA,35,M
46,C00046,Consumer,Canada,25,F
47,C00047,Corporate,Spain,37,F
48,C00048,Consumer,KSA,45,M
49,C00049,Corporate,Germany,51,M
50,C00050,Consumer,Germany,50,F
51,C00051,Corporate,KSA,43,M
52,C00052,Consumer,Spain,56,M
53,C00053,Consumer,Canada,54,M
54,C00054,Consumer,Spain,29,M
55,C00055,Corporate,Egypt,52,F
56,C00056,Consumer,UK,37,F
57,C00057,Consumer,UK,52,M
58,C00058,Consumer,France,56,F
59,C00059,Consumer,UK,29,F
60,C00060,Consumer,UK,40,M
61,C00061,Consumer,UK,25,F
62,C00062,Consumer,USA,39,F
63,C00063,Consumer,Egypt,31,F
64,C00064,Corporate,Italy,51,F
65,C00065,Consumer,Spain,25,F
66,C00066,Consumer,Germany,44,F
67,C00067,Consumer,Germany,20,M
68,C00068,Consumer,France,55,M
69,C00069,Corporate,UK,20,M
70,C00070,Consumer,Canada,53,F
71,C00071,Home Office,Germany,59,M
72,C00072,Corporate,Egypt,44,F
73,C00073,Corporate,KSA,23,F
74,C00074,Consumer,Italy,58,F
75,C00075,Consumer,KSA,34,F
76,C00076,Consumer,UAE,20,M
77,C00077,Consumer,UK,35,F
78,C00078,Consumer,Germany,39,M
79,C00079,Consumer,Spain,33,M
80,C00080,Consumer,UAE,51,F
81,C00081,Home Office,Egypt,38,F
82,C00082,Consumer,France,58,F
83,C00083,Consumer,Germany,51,F
84,C00084,Consumer,Italy,21,M
85,C00085,Corporate,USA,26,F
86,C00086,Corporate,UAE,56,M
87,C00087,Consumer,UAE,21,F
88,C00088,Consumer,KSA,39,F
89,C00089,Consumer,Canada,58,M
90,C00090,Consumer,Egypt,36,F
91,C00091,Corporate,Canada,57,M
92,C00092,Consumer,Germany,20,M
93,C00093,Consumer,UK,25,M
94,C00094,Consumer,Italy,37,M
95,C00095,Consumer,KSA,50,F
96,C00096,Consumer,KSA,27,F
97,C00097,Home Office,Egypt,23,F
98,C00098,Consumer,UK,38,F
99,C00099,Consumer,Canada,50,M
100,C00100,Consumer,UAE,49,F
101,C00101,Corporate,UAE,29,F
102,C00102,Consumer,France,31,M
103,C00103,Consumer,USA,57,F
104,C00104,Consumer,Spain,23,F
105,C00105,Consumer,Canada,57,M
106,C00106,Consumer,KSA,23,M
107,C00107,Home Office,USA,48,F
108,C00108,Consumer,Canada,29,F
109,C00109,Consumer,UK,23,M
110,C00110,Consumer,Italy,40,M
111,C00111,Consumer,KSA,52,M
112,C00112,Consumer,Germany,31,M
113,C00113,Consumer,Italy,56,F
114,C00114,Consumer,KSA,34,F
115,C00115,Corporate,UAE,29,F
116,C00116,Consumer,Egypt,45,F
117,C00117,Consumer,UK,45,F
118,C00118,Corporate,USA,54,M
119,C00119,Consumer,Spain,24,F
120,C00120,Consumer,KSA,18,F
121,C00121,Consumer,Canada,19,M
122,C00122,Consumer,USA,52,F
123,C00123,Corporate,Canada,28,M
124,C00124,Consumer,Egypt,46,F
125,C00125,Home Office,UK,50,F
126,C00126,Corporate,UAE,36,M
127,C00127,Consumer,UK,23,F
128,C00128,Corporate,Italy,41,F
129,C00129,Corporate,Spain,24,F
130,C00130,Consumer,KSA,18,M
131,C00131,Corporate,Italy,59,F
132,C00132,Consumer,UAE,20,F
133,C00133,Consumer,Germany,55,M
134,C00134,Consumer,KSA,33,M
135,C00135,Consumer,France,59,F
136,C00136,Corporate,Spain,28,F
137,C00137,Consumer,Spain,24,M
138,C00138,Consumer,Canada,35,F
139,C00139,Consumer,Germany,45,M
140,C00140,Consumer,Canada,37,F
141,C00141,Consumer,Canada,37,M
142,C00142,Consumer,UK,57,M
143,C00143,Consumer,UAE,35,F
144,C00144,Consumer,UAE,58,M
145,C00145,Consumer,Egypt,27,F
146,C00146,Consumer,Italy,56,M
147,C00147,Consumer,Spain,37,M
148,C00148,Consumer,Germany,32,F
149,C00149,Corporate,Italy,45,F
150,C00150,Consumer,UAE,28,F
151,C00151,Consumer,UK,36,F
152,C00152,Consumer,UAE,58,F
153,C00153,Corporate,Italy,55,M
154,C00154,Consumer,Canada,48,F
155,C00155,Corporate,Germany,31,F
