OrderID,Date,ProductID,CustomerID,StoreID,Channel,PaymentMethod,PromoType,Quantity,UnitPrice,UnitCost,Sales,Profit
O1000000,2023-08-13,11,3583,43,Mobile App,Credit Card,Seasonal,2,173.63,86.8,347.26,173.66
O1000001,2024-09-11,28,4211,72,Mobile App,Cash,Influencer,5,145.99,81.21,729.95,323.9
O1000002,2025-09-08,18,1835,101,Online,Cash,Clearance,6,109.21,78.94,655.26,181.62
O1000003,2025-08-22,33,65,33,Mobile App,Cash,None,3,33.75,15.69,101.25,54.18
O1000004,2025-07-02,21,799,33,Online,Credit Card,Seasonal,2,79.88,50.84,159.76,58.08
O1000005,2023-09-22,10,3032,108,Store,Credit Card,Seasonal,6,34.78,28.57,208.68,37.26
O1000006,2023-07-29,14,804,53,Online,Online Payment,Clearance,3,71.42,55.44,214.26,47.94
O1000007,2023-06-25,5,3835,39,Online,Credit Card,Influencer,4,129.2,69.54,516.8,238.64
O1000008,2023-05-20,12,2,64,Store,Credit Card,None,5,89.88,43.45,449.4,232.15
O1000009,2024-11-03,31,4628,86,Store,Online Payment,None,4,119.66,67.66,478.64,208.0
O1000010,2024-12-22,9,4961,1,Store,Credit Card,Seasonal,5,42.16,32.29,210.8,49.35
O1000011,2025-08-25,18,1998,41,Store,Online Payment,Bundle,7,120.05,85.9,840.35,239.05
O1000012,2023-04-10,8,4290,99,Store,Online Payment,None,5,159.27,100.33,796.35,294.7
O1000013,2023-10-18,20,4509,72,Online,Credit Card,Influencer,5,36.99,22.04,184.95,74.75
O1000014,2025-03-08,39,4056,73,Store,Cash,None,4,162.32,81.53,649.28,323.16
O1000015,2025-01-16,31,3151,52,Online,Credit Card,Clearance,4,95.32,73.31,381.28,88.04
O1000016,2024-04-13,31,1036,10,Online,Credit Card,None,5,126.46,79.39,632.3,235.35
O1000017,2023-06-17,11,1667,57,Online,Credit Card,None,5,177.45,85.85,887.25,458.0
O1000018,2024-06-14,13,1791,3,Online,Credit Card,None,1,87.07,44.45,87.07,42.62
O1000019,2023-07-08,4,4918,50,Store,Credit Card,Seasonal,3,63.45,44.12,190.35,57.99
O1000020,2024-08-09,37,3213,13,Online,Online Payment,None,7,161.48,98.55,1130.36,440.51
O1000021,2025-09-15,39,294,95,Online,Credit Card,Influencer,6,147.44,94.08,884.64,320.16
O1000022,2023-08-03,14,803,92,Online,Credit Card,None,3,97.47,54.92,292.41,127.65
O1000023,2023-05-10,28,4349,71,Online,Cash,Bundle,5,145.88,97.02,729.4,244.3
O1000024,2025-03-19,9,2431,98,Store,Cash,None,4,54.87,26.0,219.48,115.48
O1000025,2023-01-27,27,2642,61,Mobile App,Online Payment,None,3,133.18,69.24,399.54,191.82
O1000026,2025-12-13,4,4594,112,Store,Online Payment,Seasonal,4,61.58,51.43,246.32,40.6
O1000027,2025-04-29,14,2924,60,Store,Credit Card,Seasonal,4,85.51,44.38,342.04,164.52
O1000028,2024-03-18,16,2071,5,Store,Cash,None,5,76.34,50.63,381.7,128.55
O1000029,2024-02-02,40,4162,57,Online,Cash,Clearance,4,53.5,45.51,214.0,31.96
O1000030,2024-02-28,19,1676,12,Online,Credit Card,Clearance,7,108.45,91.15,759.15,121.1
O1000031,2024-03-10,9,4636,98,Online,Credit Card,None,2,46.28,26.81,92.56,38.94
O1000032,2025-07-09,2,361,67,Online,Credit Card,None,6,33.76,19.81,202.56,83.7
O1000033,2025-05-26,8,4478,60,Store,Online Payment,None,6,172.7,83.17,1036.2,537.18
O1000034,2023-08-13,10,612,38,Mobile App,Credit Card,Clearance,6,31.99,20.56,191.94,68.58
O1000035,2023-07-17,13,2333,60,Store,Cash,Bundle,2,88.07,47.38,176.14,81.38
O1000036,2024-08-15,6,1070,119,Online,Cash,None,7,109.37,63.26,765.59,322.77
O1000037,2024-12-13,30,3561,17,Online,Credit Card,None,5,47.16,27.07,235.8,100.45
O1000038,2025-03-07,16,2326,33,Store,Credit Card,None,2,85.08,48.19,170.16,73.78
O1000039,2023-12-10,10,3762,30,Store,Credit Card,None,4,42.65,26.78,170.6,63.48
O1000040,2024-06-12,22,2818,17,Store,Credit Card,None,3,117.63,74.74,352.89,128.67
O1000041,2023-04-25,13,1732,98,Store,Online Payment,None,5,90.75,51.53,453.75,196.1
O1000042,2024-05-14,28,3665,98,Online,Credit Card,Seasonal,4,129.79,97.1,519.16,130.76
O1000043,2025-01-23,22,1518,99,Store,Credit Card,None,5,127.56,60.63,637.8,334.65
O1000044,2023-11-30,38,1126,53,Store,Online Payment,Seasonal,4,56.7,42.65,226.8,56.2
O1000045,2023-12-16,26,4108,43,Online,Credit Card,None,1,73.54,35.18,73.54,38.36
